Name	Brand name	Type	Source	Target	Approved	Use
3F8		mab	mouse	GD2 ganglioside		neuroblastoma
Abagovomab		mab	mouse	CA-125 (imitation)		ovarian cancer
Abciximab	ReoPro	Fab	chimeric	CD41 (integrin alpha-IIb)	Y	platelet aggregation inhibitor
Abituzumab		mab	humanized	CD51		cancer
Abrezekimab		Fab	humanized	IL-13		?
Abrilumab		mab	human	integrin α4 β7		inflammatory bowel disease, ulcerative colitis, Crohn's disease
Actoxumab		mab	human	Clostridium difficile		Clostridium difficile colitis
Adalimumab	Humira	mab	human	TNF-α	Y	rheumatoid arthritis, Crohn's disease, plaque psoriasis, psoriatic arthritis, ankylosing spondylitis, juvenile idiopathic arthritis, hemolytic disease of the newborn
Adecatumumab		mab	human	EpCAM		prostate and breast cancer
Aducanumab	Aduhelm	mab	human	β-amyloid	Y	Alzheimer's disease
Afasevikumab		mab	human	IL-17A, IL-17F		multiple sclerosis
Afelimomab		F(ab')2	mouse	TNF-α		sepsis
Alacizumab pegol		F(ab')2	humanized	VEGFR2		cancer
Alemtuzumab	Lemtrada, Campath	mab	humanized	CD52	Y	multiple sclerosis
Alirocumab	Praluent	mab	human	PCSK9	Y	hypercholesterolemia
Altumomab pentetate	Hybri-ceaker	mab	mouse	Carcinoembryonic antigen (CEA)		colorectal cancer (diagnosis)
Amatuximab		mab	chimeric	mesothelin		cancer
Amivantamab	Rybrevant	BsMAb	human	Epidermal growth factor receptor (EGFR), cMet	Y	non-small cell lung cancer
Anatumomab mafenatox		Fab	mouse	Tumor-associated glycoprotein 72 (TAG-72)		non-small cell lung cancer
Andecaliximab		mab	chimeric	gelatinase B		gastric cancer or gastroesophageal junction adenocarcinoma
Anetumab ravtansine		mab	human	mesothelin (MSLN)		cancer
Anifrolumab	Saphnelo	mab	human	IFN-α/β receptor	Y	systemic lupus erythematosus
Ansuvimab	Ebanga	mab	human	Ebola virus glycoprotein	Y	treatment of Zaire ebolavirus (Ebola virus)
Anrukinzumab (= IMA-638)		mab	humanized	IL-13		asthma
Apolizumab		mab	humanized	HLA-DR ?		hematological cancers
Aprutumab ixadotin		mab	human	FGFR2		?
Arcitumomab	CEA-Scan	Fab'	mouse	Carcinoembryonic antigen (CEA)		gastrointestinal cancers (diagnosis)
Ascrinvacumab		mab	human	activin receptor-like kinase 1		cancer
Aselizumab		mab	humanized	L-selectin (CD62L)		severely injured patients
Atezolizumab	Tecentriq	mab	humanized	PD-L1	Y	cancer
Atidortoxumab		mab	human	Staphylococcus aureus alpha toxin		research use only
Atinumab		mab	human	RTN4		?
Atoltivimab		mab	human			part of Atoltivimab/maftivimab/odesivimab for treatment of Zaire ebolavirus (Ebola virus)
Atoltivimab / maftivimab / odesivimab	Inmazeb	mab	human		Y	treatment of Zaire ebolavirus (Ebola virus)
Atorolimumab		mab	human	Rhesus factor		hemolytic disease of the newborn[citation needed]
Avelumab	Bavencio	mab	human	PD-L1	Y	cancer
Azintuxizumab vedotin		mab	chimeric/humanized	CD319		cancer
Bamlanivimab		mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Emergency Use Authorization (EUA) when used with etesevimab	Coronavirus disease 2019 (COVID-19)
Bapineuzumab		mab	humanized	β-amyloid		Alzheimer's disease
Basiliximab	Simulect	mab	chimeric	CD25 (α chain of IL-2 receptor)	Y	prevention of organ transplant rejections
Bavituximab		mab	chimeric	phosphatidylserine		cancer, viral infections
BCD-100		?	human	PD-1		melanoma
Bebtelovimab		mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Emergency Use Authorization (EUA)	Coronavirus disease 2019 (COVID-19)
Bectumomab	LymphoScan	Fab'	mouse	CD22		non-Hodgkin's lymphoma (detection)
Begelomab		mab	mouse	DPP4		?
Belantamab mafodotin	Blenrep	mab	humanized	B-cell maturation antigen (BCMA)	Y	relapsed or refractory multiple myeloma
Belimumab	Benlysta	mab	human	B-cell activating factor (BAFF)	Y	systemic lupus erythematosus without renal or CNS involvement
Bemarituzumab		mab	humanized	FGFR2		gastric cancer or gastroesophageal junction adenocarcinoma
Benralizumab	Fasenra	mab	humanized	CD125	Y	asthma
Berlimatoxumab		mab	human	Staphylococcus aureus bi-component leukocidin		?
Bermekimab	Xilonix	mab	human	IL-1α		colorectal cancer
Bersanlimab		mab	human	ICAM-1		?
Bertilimumab		mab	human	CCL11 (eotaxin-1)		severe allergic disorders
